,Q1,Q2,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
804,3,1,1,1,1,1,2,6,5,2,1,2,1,2,2,3,5,1,2,2,3,2,2,2,2,2
807,4,1,1,2,1,2,1,8,8,1,2,2,1,2,2,4,5,3,3,2,2,1,2,2,2,2
809,3,1,4,1,1,1,2,7,3,2,2,2,2,2,2,2,3,5,5,2,5,2,2,2,2,2
813,3,1,1,1,1,2,1,9,7,2,2,2,2,2,2,2,4,1,2,2,4,2,2,2,1,2
815,5,1,1,1,1,1,2,8,5,2,2,2,1,2,2,4,3,1,1,1,2,1,2,2,2,2
816,4,1,1,1,1,1,2,7,7,1,1,2,1,2,1,4,2,1,1,1,4,1,2,2,1,1
818,3,1,1,1,1,1,1,8,7,1,2,2,1,2,2,4,3,1,1,2,2,1,1,1,2,2
824,3,1,1,2,1,1,1,9,4,2,2,2,2,2,2,1,4,1,1,2,3,2,2,2,2,2
828,6,1,1,2,2,2,1,7,7,1,2,1,1,2,2,2,3,1,1,2,4,2,2,2,1,2
829,2,2,1,2,2,1,1,8,8,1,1,1,1,2,2,4,3,3,5,2,1,2,2,1,1,2
830,3,1,1,1,1,1,2,7,7,1,1,2,2,2,2,3,5,1,1,2,1,2,1,1,1,2
833,5,1,1,2,1,1,2,7,5,2,2,2,2,2,2,3,5,1,1,2,2,1,2,2,2,2
837,4,1,1,1,1,1,1,6,6,1,1,1,1,2,2,4,3,1,1,2,4,1,2,2,1,2
847,3,1,1,2,1,1,1,8,8,2,2,1,1,2,1,5,3,1,1,2,4,2,2,2,2,2
850,4,1,1,2,1,1,2,8,7,2,2,2,1,2,2,4,3,1,1,2,4,2,2,2,1,2
854,4,1,1,1,1,1,2,7,5,1,1,1,1,2,2,3,5,1,1,1,3,2,2,1,1,2
856,5,1,1,1,1,1,1,9,8,2,2,2,1,2,2,4,3,1,1,2,2,2,2,2,1,2
874,6,2,1,2,1,1,1,6,5,2,2,2,1,2,2,3,5,1,1,2,4,2,1,1,2,2
878,4,1,20,2,1,1,1,7,8,2,2,2,1,2,2,4,3,1,1,2,1,2,2,2,2,2
891,2,1,5,2,1,1,1,6,8,2,2,2,2,2,2,2,4,1,1,2,3,1,2,2,2,1
892,2,1,5,2,1,2,1,8,6,1,2,1,1,2,2,4,3,1,2,2,3,2,2,2,2,2
894,2,1,5,2,1,2,1,8,8,1,1,2,1,2,2,2,4,1,1,2,4,2,2,2,2,2
895,4,2,1,2,2,1,2,7,8,2,2,1,1,2,2,3,3,1,1,1,1,1,2,1,2,1
896,4,1,19,2,2,1,2,6,7,2,2,2,2,2,2,4,3,1,1,2,5,2,2,2,2,2
897,5,1,1,1,1,1,1,9,10,2,2,2,1,2,2,4,3,1,1,2,4,2,2,2,2,2
908,6,1,1,1,1,1,1,8,8,1,2,1,1,2,2,3,3,1,4,2,2,1,2,2,1,2
