,Q1,Q2,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
231,3,2,1,1,1,1,2,6,6,1,1,1,1,2,2,5,5,1,1,2,2,1,2,2,2,2
239,6,1,1,2,1,1,1,7,8,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1
242,3,2,1,2,2,1,2,8,8,2,2,1,1,2,1,3,4,1,1,2,4,2,2,1,2,2
245,2,1,1,2,1,1,1,7,9,1,2,2,1,2,2,4,3,1,1,2,4,1,2,2,2,1
248,5,2,1,2,2,2,2,7,6,2,2,2,2,2,2,3,5,1,2,2,2,2,2,2,2,2
252,3,1,1,2,2,1,2,8,7,2,2,2,1,2,2,4,3,1,1,2,3,1,2,2,2,2
253,6,1,1,2,2,2,1,7,7,2,1,1,1,2,1,3,4,1,1,1,1,1,2,2,2,2
254,3,2,1,2,2,1,2,8,8,2,2,1,1,2,2,3,5,2,1,2,3,2,2,1,2,2
256,3,1,1,2,2,1,2,9,8,2,2,1,1,2,2,4,5,1,1,2,2,2,2,2,2,2
257,3,1,1,2,2,2,2,8,8,2,2,1,1,2,2,4,3,1,1,2,1,2,2,2,2,1
263,4,1,1,2,2,2,2,8,8,2,2,2,1,2,2,5,5,1,1,2,2,2,2,2,2,2
266,6,1,1,2,2,2,1,8,7,1,1,2,1,2,2,4,3,1,1,2,3,2,2,2,2,2
268,7,1,1,1,2,1,1,6,6,2,2,2,2,2,2,3,3,1,1,2,4,1,2,1,2,2
274,3,1,1,2,2,2,1,7,5,2,2,2,1,2,2,3,5,1,1,2,4,1,1,2,1,2
278,3,1,1,2,2,1,1,9,8,2,2,2,2,2,2,4,3,1,1,2,1,2,2,2,2,1
279,7,1,1,2,2,2,1,7,7,2,1,1,1,2,1,4,1,1,1,2,4,1,1,1,2,1
282,3,1,1,2,2,2,1,8,7,2,1,2,1,2,2,2,4,1,1,1,1,1,2,1,1,2
292,3,1,1,2,1,2,2,8,6,1,1,2,1,2,2,2,4,1,1,2,3,2,1,2,1,2
293,6,1,1,1,1,1,1,8,8,2,2,1,1,2,2,2,4,1,1,2,1,2,2,2,2,2
294,4,1,1,2,2,1,2,7,8,1,2,2,1,2,2,4,5,1,1,1,3,1,2,1,2,1
296,2,1,1,2,1,2,1,8,7,2,1,2,2,2,2,4,4,2,2,1,2,2,2,2,2,2
297,3,1,1,2,2,1,1,7,6,2,2,2,1,2,2,5,5,5,5,2,3,1,2,2,2,2
306,3,1,1,2,1,1,2,7,8,2,2,2,1,2,2,3,5,1,1,2,3,1,1,2,2,2
311,2,1,1,2,2,1,1,7,9,1,2,2,1,2,1,4,2,1,1,2,2,2,2,2,2,2
